opis_id,name,address,city,state,lat,lon,price
72901,FATDOGS GRAND ISLAND TRAVEL CENTER,I-80 & HWY 281,Grand Island,NE,40.921352,-98.358559,2.979000
7269,GRAND ISLAND TRAVEL CENTER,"I-80, EXIT 312 & US-281/US-34",Grand Island,NE,40.921352,-98.358559,3.265667
72363,PUMP & PANTRY #1,US-30,Grand Island,NE,40.921352,-98.358559,3.307333
1333,PUMP & PANTRY #15,US-30,Grand Island,NE,40.921352,-98.358559,3.307333
68067,PUMP & PANTRY #2,US-30 & US-281,Grand Island,NE,40.921352,-98.358559,3.307333
64172,CUBBYS #108,"I-80, EXIT 420 & SR-63",Greenwood,NE,40.961687,-96.443043,3.399000
71887,SHELL,I-80 & SR-63,Greenwood,NE,40.961687,-96.443043,3.399000
20012,FLYING J TRAVEL PLAZA #686,"I-80, EXIT 432",Gretna,NE,41.127917,-96.196863,3.282333
69840,KUM & GO #0370,"I-80, EXIT 439 & SR-370",Gretna,NE,41.127917,-96.196863,2.920667
6811,PUMP & PANTRY #24,US-6/CR-74,Hastings,NE,40.596264,-98.390320,3.399000
65282,HEBRON SINCLAIR,US-81,Hebron,NE,40.168769,-97.585984,3.284000
52548,Henderson Fuel Mart,"I-80, EXIT 342",Henderson,NE,40.780250,-97.812209,2.899000
7265,Fast Stop Travel Centers #1151,"I-80, EXIT 164 & CR-56C",Hershey,NE,41.160187,-100.998528,3.499000
66242,PUMP & PANTRY #23,"US-34, EXIT 4TH AVE",Holdrege,NE,40.439441,-99.377037,3.449000
68915,PUMP & PANTRY #53,US-20,Jackson,NE,42.448167,-96.571302,3.412333
65283,CUBBYS #2107,US-20/SR-15,Laurel,NE,42.428614,-97.096363,3.139000
65284,Caseys #4526,"I-80, EXIT 237",Lexington,NE,40.777453,-99.746755,3.057333
72599,FATDOGS LEXINGTON,US-283,Lexington,NE,40.777453,-99.746755,2.979000
6845,NEBRASKALAND TIRE SHOP,"I-80, EXIT 237 & US-283",Lexington,NE,40.777453,-99.746755,2.999000
70314,CASEYS #2721,US-34,Lincoln,NE,40.810284,-96.674856,3.336500
72909,FAT DOGS LINCOLN TC,"I-80, EXIT 399",Lincoln,NE,40.810284,-96.674856,3.099000
64173,SAPP BROS TRAVEL CENTER,"I-80, EXIT 405",Lincoln,NE,40.810284,-96.674856,3.365667
67391,SHOEMAKERS SHELL TRAVEL CENTER,I-80 EXIT 395 AT MILE 395,Lincoln,NE,40.810284,-96.674856,3.349000
72615,U STOP #4,US-6,Lincoln,NE,40.810284,-96.674856,3.399000
72974,USTOP 34,US-77,Lincoln,NE,40.810284,-96.674856,3.499000
70265,Speedee Mart # 2875,I-80 & CR-238,Milford,NE,40.771944,-97.054298,3.432333
20011,CUBBYS #111,US-81,Norfolk,NE,42.028216,-97.427807,3.209000
69875,LOVES TRAVEL STOP #680,US-81,Norfolk,NE,42.028216,-97.427807,3.315667
6859,PRIME STOP,US-81,Norfolk,NE,42.028216,-97.427807,3.229000
71103,FAT DOGS NORTH PLATTE SOUTH,"I-80, EXIT 177 & US-83",North Platte,NE,41.125637,-100.749795,3.074000
63391,FLYING J TRAVEL PLAZA #687,"I-80, EXIT 179",North Platte,NE,41.125637,-100.749795,3.449000
67284,LOVES TRAVEL STOP #390,"I-80, EXIT 179",North Platte,NE,41.125637,-100.749795,3.455667
72361,PUMP & PANTRY #39,I-80 Exit 179 & SR-56G,North Platte,NE,41.125637,-100.749795,3.115667
69085,FATDOGS OGALLALA,"US-80, EXIT 126 & US-26/SR-61",Ogallala,NE,41.129595,-101.720677,3.014000
323,SAPP BROS TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,41.129595,-101.720677,3.465667
7267,TA OGALLALA TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,41.129595,-101.720677,3.465667
71200,LOVES TRAVEL STOP #730,"I-80, EXIT 440 & SR-50",Omaha,NE,41.264013,-96.056496,3.280667
70467,QUIKTRIP #598,"I-80, EXIT 439, SR-370",Omaha,NE,41.264013,-96.056496,2.927333
7268,SAPP BROS TRAVEL CENTER,"I-80, EXIT 440 & SR-50, EXIT 440",Omaha,NE,41.264013,-96.056496,3.280667
67792,CUBBYS #113,US-20/US-275,Oneill,NE,42.461533,-98.646955,3.225667
67734,TROTTER TRUCK PLAZA,ST 11,Ord,NE,41.602320,-98.918999,3.299000
65287,AM ENERGY,"I-80, EXIT 248",Overton,NE,40.740570,-99.537410,2.899000
70016,CASEYS #2743,SR-43/SR-2 & SR-66A,Palmyra,NE,40.705701,-96.392119,3.199000
70271,CASEYS #1160,US-20,Plainview,NE,42.353346,-97.787145,3.229000
65289,SHOEMAKERS SOUTH,US-77,Roca,NE,40.658469,-96.661397,3.349000
67323,PUMP & PANTRY #13,US-281/SR-92,Saint Paul,NE,41.213669,-98.459446,3.307333
70668,LOVES TRAVEL STOP #784,US-30 & CR-9,Schuyler,NE,41.450134,-97.061591,3.282333
65290,ESSENTIAL FUEL #3,ST 71,Scottsbluff,NE,41.868095,-103.660696,3.599000
70870,ESSENTIAL FUELS,US-26,Scottsbluff,NE,41.868095,-103.660696,3.599000
70760,CASEYS #2730,US-34 & SR-15,Seward,NE,40.909211,-97.096095,3.369000
69611,CUBBYS #2104,CR-131,Shelby,NE,41.194247,-97.426267,3.399000
69710,LOVES TRAVEL STOP #625,"I-80, EXIT 59 & SR-17J",Sidney,NE,41.133633,-102.969540,3.472333
71983,MAVERIK COUNTRY STORE #702,I-80 Exit 59,Sidney,NE,41.133633,-102.969540,3.112333
599,Sapp Bros Travel Center,"I-80, EXIT 59 & SR-17J",Sidney,NE,41.133633,-102.969540,3.500667
6037,CRYSTAL OIL,"I-129/US-20/US-75,  EXIT 2",South Sioux City,NE,42.462129,-96.413256,3.549000
69715,CASEYS #2712,SR-8/SR-14,Superior,NE,40.021709,-98.061860,3.362333
65292,CUBBYS #117,SR-2 & SR-50,Syracuse,NE,40.663504,-96.182733,3.319000
69886,LOVES TRAVEL STOP #676,SR-50,Syracuse,NE,40.663504,-96.182733,3.444000
73017,U Stop #36,US 136 & SR 50,Tecumseh,NE,40.371817,-96.188706,3.399000
65293,TRAILS WEST SINCLAIR,US-34 & SR-25,Trenton,NE,40.174733,-101.013573,3.499000
6897,Speedee Mart #2890,US-20 & US-83,Valentine,NE,42.873892,-100.547014,3.329000
